"INF06_01","INF06_02","INF06_03","INF24_01","INF24_02","INF24_03","INF48_01","INF48_02","INF48_03","CON06_01","CON06_02","CON06_03","CON24_01","CON24_02","CON24_03","CON48_01","CON48_02","CON48_03"
78,0,0,0,0,0,0,0,0,143,0,0,0,0,87,0,56,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,0,0
500,0,0,682,198,493,180,425,0,643,394,394,266,231,0,831,0,891
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
0,0,0,0,0,0,0,0,0,9,0,0,3,0,0,17,0,0
340,431,431,464,589,636,694,360,348,733,0,0,889,1094,1171,0,1083,661
496,486,486,988,1008,952,794,846,607,843,982,982,563,656,609,570,411,495
126,215,215,0,0,108,0,0,0,214,200,200,0,0,0,131,122,0
99,0,0,0,0,0,0,0,0,0,84,84,0,0,0,0,0,0
2108,282,282,7373,6090,7204,6889,6371,4418,4626,3665,3665,4350,4939,6197,6461,9459,6563
0,0,0,0,4457,4783,0,8975,0,0,4422,4422,0,4201,3763,2188,5,1543
785,1129,1129,1576,2221,1872,962,1090,39,867,1109,1109,0,403,789,529,849,963
297,0,0,0,138,0,0,284,0,0,0,0,0,235,0,0,0,0
0,0,0,0,0,0,0,0,0,0,599,599,0,0,0,0,0,0
554,734,734,276,574,1497,20,596,81,483,641,641,505,624,705,402,0,775
0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,88
1007,657,657,1208,0,2060,0,1434,823,1504,1786,1786,747,548,534,1443,0,0
0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,119,119,14,0,0,0,73,0,0,0,0,0,146,70,132,0,84
253,179,179,180,253,0,194,452,255,225,307,307,0,253,305,261,432,723
0,245,245,353,471,303,0,234,0,0,0,0,257,326,204,375,334,100
0,391,391,0,0,0,0,0,0,0,261,261,0,0,0,0,0,0
0,0,0,0,277,0,0,192,0,0,0,0,279,0,0,0,0,0
0,95,95,0,0,0,2638,0,0,0,991,991,0,0,0,0,633,0
0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,704,0
0,0,0,0,54,0,181,0,0,5,0,0,0,0,150,0,0,0
0,0,0,59,0,0,0,69,0,0,190,190,0,0,0,0,0,0
0,0,0,182,0,0,0,349,3,0,0,0,0,0,0,0,0,258
0,1346,1346,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0
106,141,141,87,144,67,0,0,73,21,0,0,206,0,0,337,0,59
0,0,0,49,0,0,0,0,23,0,0,0,0,0,0,0,0,51
0,27,27,153,54,102,33,72,240,44,0,0,88,93,73,0,185,157
0,14,14,731,2698,2160,0,0,0,0,0,0,462,0,0,0,2548,0
0,97,97,106,107,0,142,0,0,67,0,0,97,0,158,141,0,31
1049,924,924,393,347,0,1513,661,388,2252,2451,2451,2407,546,759,299,0,741
0,1563,1563,775,1846,1027,773,768,1709,1309,1399,1399,1584,1302,1100,0,803,1394
1525,923,923,3513,1913,3003,1092,1843,607,1243,673,673,1015,2188,2459,1289,1802,2783
0,0,0,0,63,0,45,0,0,0,54,54,66,0,0,37,54,0
380,242,242,359,410,376,221,395,374,231,249,249,695,341,381,650,380,402
3928,3553,3553,6616,6678,3560,4727,5054,5089,3720,3732,3732,6620,6047,6621,3172,8439,7607
1299,1514,1514,3341,3271,3424,2442,2180,4151,1825,1998,1998,2980,2639,3400,3719,4256,4370
